0,NAME,CBSA,B19301_001E,B01003_001E,metropolitan statistical area/micropolitan statistical area
1,"Iowa City, IA Metro Area",26980,33727,169144,26980
2,"Hobbs, NM Micro Area",26020,24879,70126,26020
3,"Holland, MI Micro Area",26090,28073,115250,26090
4,"Homosassa Springs, FL Metro Area",26140,25983,143087,26140
5,"Hood River, OR Micro Area",26220,32581,23131,26220
6,"Hope, AR Micro Area",26260,19739,30458,26260
7,"Hot Springs, AR Metro Area",26300,26791,98296,26300
8,"Houghton, MI Micro Area",26340,23362,38490,26340
9,"Houma-Thibodaux, LA Metro Area",26380,26064,210801,26380
10,"McPherson, KS Micro Area",32700,30234,28630,32700
11,"Meadville, PA Micro Area",32740,25731,86164,32740
12,"Medford, OR Metro Area",32780,28728,214267,32780
13,"Memphis, TN-MS-AR Metro Area",32820,28195,1345991,32820
14,"Menomonie, WI Micro Area",32860,27107,44498,32860
15,"Merced, CA Metro Area",32900,21634,269075,32900
16,"Meridian, MS Micro Area",32940,22734,103358,32940
17,"Merrill, WI Micro Area",32980,29642,27848,32980
18,"Marion, NC Micro Area",32000,22725,45109,32000
19,"Marion, OH Micro Area",32020,22878,65344,32020
20,"Marquette, MI Micro Area",32100,26290,66939,32100
21,"Marshall, MN Micro Area",32140,30531,25839,32140
22,"Marshall, MO Micro Area",32180,22802,23102,32180
23,"Marshall, TX Micro Area",32220,25418,66645,32220
24,"Marshalltown, IA Micro Area",32260,26516,40271,32260
25,"Martin, TN Micro Area",32280,21641,33626,32280
26,"Martinsville, VA Micro Area",32300,21737,64689,32300
27,"Maryville, MO Micro Area",32340,22151,22547,32340
28,"Mason City, IA Micro Area",32380,31034,50473,32380
29,"Mayagüez, PR Metro Area",32420,10885,93435,32420
30,"Mayfield, KY Micro Area",32460,23189,37294,32460
31,"Maysville, KY Micro Area",32500,25658,17153,32500
32,"McAlester, OK Micro Area",32540,24750,44382,32540
33,"McAllen-Edinburg-Mission, TX Metro Area",32580,16490,849389,32580
34,"McComb, MS Micro Area",32620,18533,52205,32620
35,"McMinnville, TN Micro Area",32660,22328,40454,32660
36,"Mexico, MO Micro Area",33020,21819,25735,33020
37,"Miami, OK Micro Area",33060,20209,31566,33060
38,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",33100,30951,6070944,33100
39,"Michigan City-La Porte, IN Metro Area",33140,25865,110552,33140
