NAME,population,under44_1,under44_2,under44_3,older65_1,older_65_2,income_per_capita,industrial_managers,construction_managers,farmers,realestate,construction_workers,state,place
"Sibley village, Missouri",356,14,48,55,36,24,31752,,,,,,29,67718
"Laurel city, Mississippi",18607,1553,2625,2237,1443,1562,21905,,,,,,28,39640
"Leland city, Mississippi",4058,317,496,438,328,230,21563,,,,,,28,40280
"Corinth city, Mississippi",14647,1675,1983,1682,1432,1316,21012,,,,,,28,15700
"Sullivan city, Missouri",6496,460,994,902,566,645,22142,,,,,,29,71440
"Lewistown town, Missouri",685,68,102,83,97,35,20730,,,,,,29,41852
"Sugar Creek city, Missouri",3309,219,664,206,279,187,21378,,,,,,29,71368
"La Grange city, Missouri",958,91,58,100,131,67,21257,,,,,,29,39764
"Livonia village, Missouri",95,19,9,6,5,0,11905,,,,,,29,43454
"Hunnewell city, Missouri",158,7,12,27,11,9,18778,,,,,,29,33760
"Center city, Missouri",477,36,53,49,54,76,22542,,,,,,29,12592
"Puxico city, Missouri",931,69,140,75,114,60,19904,,,,,,29,60284
"Chamois city, Missouri",438,69,73,29,76,27,28223,,,,,,29,13060
"Linn city, Missouri",1654,363,280,136,102,77,19062,,,,,,29,43238
"Doniphan city, Missouri",2236,122,303,340,190,236,16337,,,,,,29,19792
"Hollister city, Missouri",4504,595,624,499,469,406,20882,,,,,,29,32662
"Gentry village, Missouri",63,9,6,12,3,8,14859,,,,,,29,26776
"King City city, Missouri",962,74,108,92,96,134,21433,,,,,,29,38774
"Stanberry city, Missouri",1222,90,177,112,79,182,20625,,,,,,29,70270
"Benton city, Missouri",913,43,168,134,62,48,25814,,,,,,29,04798
"Vanduser village, Missouri",194,46,5,17,42,25,30816,,,,,,29,75724
"Creighton city, Missouri",329,44,38,34,46,15,18102,,,,,,29,17164
"Garden City city, Missouri",1494,198,235,159,128,81,23073,,,,,,29,26434
"Festus city, Missouri",11970,964,1682,1607,989,815,26055,,,,,,29,24094
