,NAME,city,state,HD,LOW,population,income_per_capita,STUSAB,low warehouse distance,hd warehouse distance,Northeast_x,Midwest_x,South_x,West_x
0,"Aberdeen, SD Micro Area",Aberdeen,46,0,0,28124,29901,SD,703.0636781,426.9197842,0,1,0,0
1,"Aberdeen, WA Micro Area",Aberdeen,53,1,0,16359,21544,WA,1566.68138,76.90979756,0,0,0,1
2,"Abilene, TX Metro Area",Abilene,48,1,2,123676,23756,TX,431.5530576,513.1212924,0,0,1,0
3,"Ada, OK Micro Area",Ada,40,0,0,17276,22921,OK,221.7396276,165.4049464,0,0,1,0
4,"Adrian, MI Micro Area",Adrian,26,0,1,20640,19884,MI,100.4267693,85.06625973,0,1,0,0
5,"Akron, OH Metro Area",Akron,39,1,2,198314,23430,OH,179.2554034,188.7426461,0,1,0,0
6,"Alamogordo, NM Micro Area",Alamogordo,35,1,1,31230,24620,NM,919.3538146,478.611425,0,0,0,1
7,"Albany, GA Metro Area",Albany,13,1,1,74631,19579,GA,306.454636,126.6758563,0,0,1,0
8,"Albany, OR Metro Area",Albany,41,1,1,52736,28196,OR,1306.647001,103.9294374,0,0,0,1
9,"Albany-Schenectady-Troy, NY Metro Area",Troy,36,2,1,97889,28402,NY,304.8464764,132.1875929,1,0,0,0
12,"Albemarle, NC Micro Area",Albemarle,37,0,1,15889,21853,NC,78.63849797,88.25961364,0,0,1,0
13,"Albert Lea, MN Micro Area",Albert Lea,27,1,0,17687,24988,MN,380.7531039,146.2763089,0,1,0,0
14,"Albertville, AL Micro Area",Albertville,1,0,0,21460,20243,AL,6434.446026,6106.09392,0,0,1,0
15,"Albuquerque, NM Metro Area",Albuquerque,35,0,0,559202,29210,NM,691.0534501,511.3452266,0,0,0,1
16,"Alexander City, AL Micro Area",Alexander City,1,1,0,14621,21498,AL,344.7524571,57.7721465,0,0,1,0
17,"Alexandria, LA Metro Area",Alexandria,22,1,1,47539,25896,LA,643.7116384,206.4054708,0,0,1,0
18,"Alexandria, MN Micro Area",Alexandria,27,0,0,13380,29901,MN,643.7116384,206.4054708,0,1,0,0
19,"Alice, TX Micro Area",Alice,48,0,0,19146,22019,TX,577.6329256,345.0948181,0,0,1,0
20,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Easton,42,1,0,120410,28805,PA,4816.65845,4564.738123,1,0,0,0
23,"Alma, MI Micro Area",Alma,26,0,0,9051,19237,MI,424.0936495,114.5424024,0,1,0,0
24,"Alpena, MI Micro Area",Alpena,26,1,0,10086,22806,MI,441.7348524,282.3240801,0,1,0,0
25,"Altoona, PA Metro Area",Altoona,42,1,1,44372,22995,PA,181.4943912,148.6703309,1,0,0,0
26,"Altus, OK Micro Area",Altus,40,0,0,19034,22649,OK,412.9217429,347.0592139,0,0,1,0
27,"Amarillo, TX Metro Area",Amarillo,48,2,2,198773,27950,TX,649.1665583,539.0270798,0,0,1,0
28,"Americus, GA Micro Area",Americus,13,0,1,15659,18061,GA,164.6770327,131.7485319,0,0,1,0
29,"Ames, IA Metro Area",Ames,19,0,1,65937,25606,IA,374.8069346,159.8609684,0,1,0,0
30,"Amsterdam, NY Micro Area",Amsterdam,36,1,1,17927,21135,NY,303.2551671,87.48979083,1,0,0,0
