city,STUSAB,HD,LO,place,name,zipcode,income_per_capita,population,under44_1,under44_2,under44_3,older65_1,older_65_2
Abbeville,LA,,1,00100,"Abbeville city, Louisiana",70510,19788,12286,1516,1226,1137,1046,977
Aberdeen,MD,1,,00125,"Aberdeen city, Maryland",21001,30375,15701,1585,2258,1410,1489,837
Aberdeen,WA,1,,00100,"Aberdeen city, Washington",98520,21544,16359,1377,2250,2064,1506,1061
Abilene,TX,1,2,01000,"Abilene city, Texas",79601,23756,123676,19407,20699,14346,8294,7583
Abington,MA,,1,00135,"Abington CDP, Massachusetts",02351,40150,16330,1847,2007,2061,1416,816
Absecon,NJ,1,,00100,"Absecon city, New Jersey",08201,35991,8289,708,834,882,1062,789
Acworth,GA,1,,00408,"Acworth city, Georgia",30101,27971,22336,1963,3274,3092,1338,1056
Ada,OK,1,,00200,"Ada city, Oklahoma",74820,22921,17276,2940,2776,1795,1159,1371
Adrian,MI,,1,00440,"Adrian city, Michigan",49221,19884,20640,3748,2667,2323,1643,1662
Aiken,SC,1,1,00550,"Aiken city, South Carolina",29803,34274,30464,2822,3385,2521,4067,3819
Akron,OH,1,2,01000,"Akron city, Ohio",44240,23430,198314,22422,30489,23022,16491,11731
Alabaster,AL,,1,00820,"Alabaster city, Alabama",35007,30328,32878,2710,3646,5263,2334,1428
Alachua,FL,,1,00375,"Alachua city, Florida",32616,33911,9794,530,1430,1307,871,430
Alamogordo,NM,1,1,01780,"Alamogordo city, New Mexico",88310,24620,31230,3205,4760,3428,2803,2618
Albany,GA,1,1,01052,"Albany city, Georgia",31707,19579,74631,9926,10310,8765,6074,4214
Albany,NY,2,,01000,"Albany city, New York",12205,28402,97889,21091,15951,10400,6670,5906
Albany,OR,1,1,01000,"Albany city, Oregon",97322,28196,52736,5025,7443,6549,4555,3530
Albemarle,NC,,1,00680,"Albemarle city, North Carolina",28001,21853,15889,1483,1839,1921,1602,1397
Albert Lea,MN,1,,00694,"Albert Lea city, Minnesota",56007,24988,17687,1301,2310,1807,1850,2280
Albuquerque,NM,4,,02000,"Albuquerque city, New Mexico",87107,29210,559202,52553,89036,72330,47385,33989
Alcoa,TN,,1,00540,"Alcoa city, Tennessee",37701,24206,9633,692,1084,1251,930,874
Alexander City,AL,1,,01132,"Alexander City city, Alabama",35010,21498,14621,1217,1851,1334,1682,1206
Alexandria,LA,1,1,00975,"Alexandria city, Louisiana",71301,25896,47539,4253,6510,5459,4124,3673
Alexandria,VA,3,1,01000,"Alexandria city, Virginia",22304,59239,156505,9288,34947,28714,10718,6225
Algonquin,IL,1,,00685,"Algonquin village, Illinois",60102,43549,30709,2740,2942,4053,2305,1015
Alhambra,CA,1,,00898,"Alhambra Valley CDP, California",91803,61987,739,47,29,66,118,86
