,city,state,store,lat,lon
0,Mount Vernon,TX,LOW,33.1850662,-95.2226528
1,Valdosta,GA,LOW,30.8327022,-83.2784851
2,Rockford,IL,LOW,42.2713945,-89.093966
3,Garysburg,NC,LOW,36.450985,-77.5588661
4,Findlay,OH,LOW,41.0413873,-83.6503982
5,Cheyenne,WY,LOW,41.139981,-104.820246
6,Plainfield,CT,LOW,41.6086711,-88.2054345
7,Statesville,NC,LOW,35.7826363,-80.8872959
8,North Vernon,IN,LOW,31.433818,-93.848204
9,Minersville,PA,LOW,40.6906451,-76.2621697
10,Perris,CA,LOW,33.7825194,-117.2286478
11,Kissimmee,FL,LOW,28.2918995,-81.4075838
12,Hardeeville,SC,HD,32.2802665,-81.0726108
13,Tucson,AZ,HD,32.2228765,-110.9748477
14,Lacey,WA,HD,47.0263876,-122.8072257
15,Hialeah,FL,HD,25.8575963,-80.2781057
16,Elk Grove Village,IL,HD,42.0041236,-87.9706457
17,Hiawatha,IA,HD,42.0482764,-91.6865902
18,South Windsor,CT,HD,41.8489872,-72.5717551
19,Frederick,MD,HD,39.4142186,-77.4109269
20,Fresno,CA,HD,36.7394421,-119.7848307
21,Grove City,OH,HD,39.8814519,-83.0929645
22,North Las Vegas,NV,HD,36.2005843,-115.1215844
23,Houston,TX,HD,29.7589382,-95.3676974
24,Alpharetta,GA,HD,34.0709576,-84.2747329
25,Whitestown,IN,HD,43.1072035,-75.2724806
26,Cherry Hill,NJ,HD,39.9348351,-75.0307264
27,Loveland,CO,HD,40.3977612,-105.0749801
28,Tulsa,OK,HD,36.1556805,-95.9929113
29,Jenkins Township,PA,HD,41.9633917,-79.1833809
30,Louisville,KY,HD,38.2542376,-85.759407
31,Waukesha,WI,HD,43.0116784,-88.2314813
32,Hawthorne,NY,HD,41.10433545,-73.79262624386908
33,Greensboro,NC,HD,36.0726355,-79.7919754
34,Portland,OR,HD,45.5202471,-122.6741949
35,La Vergne,TN,HD,36.0156178,-86.5819394
36,Suffolk,VA,HD,40.819376,-73.119622
37,Huntington,WV,HD,38.4192496,-82.445154
38,Omaha,NE,HD,41.2587459,-95.9383758
39,Saint Louis,MO,HD,38.6529545,-90.24111656024635
40,Alabaster,AL,HD,33.2442813,-86.8163773
41,Farmington Hills,MI,HD,42.4853125,-83.3771553
42,Shawnee,KS,HD,39.0273676,-95.7627535
43,Harahan,LA,HD,29.9404826,-90.2031313
44,Saint Paul,MN,HD,44.9504037,-93.1015026
45,Draper,UT,HD,40.5246711,-111.8638226
46,Auburn,MA,HD,32.6098566,-85.4807825
